SN,ContractNo,Symbol,Buyer,Seller,Quantity,Rate,Amount
1,2025050501015480,HIDCLP,94,85,632,214.9,"135,816.80"
2,2025050501015479,HIDCLP,94,26,270,214.5,"57,915"
3,2025050501015478,HIDCLP,94,50,24,214.5,"5,148"
4,2025050501015477,HIDCLP,94,58,84,214,"17,976"
5,2025050501015476,HIDCLP,94,16,990,213.9,"211,761"
6,2025050503008986,RSDC,51,59,10,653.8,"6,538"
7,2025050504029396,HURJA,34,32,100,252.5,"25,250"
8,2025050503008985,SINDU,17,5,10,950,"9,500"
9,2025050503008984,SAPDBL,17,65,50,899,"44,950"
10,2025050501015475,IHL,81,41,21,620,"13,020"
11,2025050501015474,IHL,81,58,10,620,"6,200" 
12,2025050501015473,IHL,81,58,10,615,"6,150"
13,2025050501015472,IHL,81,48,19,615,"11,685"
14,2025050504029395,GHL,56,28,490,254.1,"124,509"
15,2025050501015471,SPHL,49,90,50,699,"34,950"
16,2025050504029394,RADHI,39,11,40,700,"28,000"
17,2025050504029393,RADHI,39,55,60,700,"42,000"
18,2025050503008983,CBBL,32,44,60,845.9,"50,754"
19,2025050504029392,NHPC,6,63,360,223.9,"80,604"
20,2025050504029391,NHPC,53,63,140,223.9,"31,346"
21,2025050505012022,NIFRA,45,49,150,286,"42,900"
22,2025050505012021,NIFRA,45,91,350,286,"100,100"
23,2025050504029390,UPCL,67,45,25,379.5,"9,487.50"
24,2025050503008982,GRDBL,32,33,28,"1,191.10","33,350.80"
25,2025050503008981,GRDBL,58,33,10,"1,191.10","11,911"
26,2025050501015470,NIMB,7,38,500,204,"102,000"
27,2025050505012020,GCIL,25,49,100,501,"50,100"
28,2025050504029389,BARUN,58,95,40,550,"22,000"
29,2025050504029388,BARUN,11,95,10,550.1,"5,501"
30,2025050504029387,BARUN,26,95,50,550.1,"27,505"
31,2025050504029386,SHPC,97,49,500,586,"293,000"
32,2025050504029385,UPCL,16,42,608,380,"231,040"
33,2025050504029384,UPCL,16,22,30,380,"11,400"
34,2025050504029383,UPCL,16,38,200,380,"76,000"
35,2025050504029382,UPCL,16,41,20,380,"7,600"
36,2025050504029381,UPCL,16,95,142,380,"53,960"
37,2025050503008980,MSLB,21,55,10,"1,140.20","11,402"
38,2025050503008979,MSLB,83,55,50,"1,140.30","57,015"
39,2025050503008978,MSLB,38,55,10,"1,143","11,430"
40,2025050503008977,MSLB,58,55,22,"1,143","25,146"
41,2025050503008976,MSLB,34,55,110,"1,143.10","125,741"
42,2025050503008975,MSLB,47,55,100,"1,143.20","114,320"
43,2025050503008974,MSLB,59,55,10,"1,144.10","11,441"
44,2025050503008973,MSLB,42,55,20,"1,144.20","22,884"
45,2025050503008972,MSLB,57,55,70,"1,144.30","80,101"
46,2025050501015469,SCB,45,13,200,601.2,"120,240"
47,2025050504029380,LEC,84,13,335,215.6,"72,226"
48,2025050505012019,SMATA,4,62,10,762,"7,620"
49,2025050504029379,SHEL,1,34,50,264.3,"13,215"
50,2025050505012018,SMJC,48,35,60,526,"31,560"
51,2025050505012017,SMJC,48,91,30,525.9,"15,777"
52,2025050505012016,SMJC,48,58,10,525,"5,250"
53,2025050503008971,KMCDB,25,5,10,974.9,"9,749"
54,2025050504029378,UPCL,52,95,258,380,"98,040"
55,2025050504029377,UPCL,52,67,290,380,"110,200"
56,2025050504029376,UPCL,52,84,112,379.9,"42,548.80"
57,2025050504029375,SPDL,44,58,626,392.8,"245,892.80"
58,2025050504029374,SPDL,44,7,25,392.7,"9,817.50"
59,2025050504029373,SPDL,44,57,300,392.6,"117,780"
60,2025050504029372,SPDL,44,16,349,392.4,"136,947.60"
